"","state","start_date","end_date","sample_size","answer","pct","pollster","transparency_score","Per.Capita.Disposable.Income..ACS.","One.Year.Change.Unemployment.Rate..BLS.","X4.Year.Change.Unemployment..BLS.","Percentage.Below.the.Poverty.Level..ACS.","X2020.Electoral.Result","edu_expenditure","house_price","fivethirtyeight_dem","fivethirtyeight_rep","feelingtherm_dem","feelingtherm_rep","affectivepolarization","State.Ideology","Immig_feeling_avg","harris_disbursement","trump_disbursement","White_population","Nonwhite_population","Age","Male","Female","Religion_Evan"
"1","Alabama",2024-04-13,2024-04-21,513,"Biden",29.4,"John Zogby Strategies",5,48163,0,-0.7,0.16,-1,12217,731239,29.4,55.6,45.92556,49.50372,-3.57816,0,1.31578947,9036.13,202931.87,0.65,0.33,39.2,0.48,0.52,0.42
"2","Alabama",2024-04-13,2024-04-21,513,"Trump",55.6,"John Zogby Strategies",5,48163,0,-0.7,0.16,-1,12217,731239,29.4,55.6,45.92556,49.50372,-3.57816,0,1.31578947,9036.13,202931.87,0.65,0.33,39.2,0.48,0.52,0.42
"3","Alabama",2024-02-29,2024-03-03,191,"Biden",36.5,"Florida Atlantic University/Mainstreet Research",6,48163,0,-0.7,0.16,-1,12217,731239,29.4,55.6,45.92556,49.50372,-3.57816,0,1.31578947,9036.13,202931.87,0.65,0.33,39.2,0.48,0.52,0.42
"4","Alabama",2024-02-29,2024-03-03,191,"Trump",55.7,"Florida Atlantic University/Mainstreet Research",6,48163,0,-0.7,0.16,-1,12217,731239,29.4,55.6,45.92556,49.50372,-3.57816,0,1.31578947,9036.13,202931.87,0.65,0.33,39.2,0.48,0.52,0.42
"5","Alabama",2024-02-29,2024-03-03,179,"Biden",37.8,"Florida Atlantic University/Mainstreet Research",6,48163,0,-0.7,0.16,-1,12217,731239,29.4,55.6,45.92556,49.50372,-3.57816,0,1.31578947,9036.13,202931.87,0.65,0.33,39.2,0.48,0.52,0.42
"6","Alabama",2024-02-29,2024-03-03,179,"Trump",57.4,"Florida Atlantic University/Mainstreet Research",6,48163,0,-0.7,0.16,-1,12217,731239,29.4,55.6,45.92556,49.50372,-3.57816,0,1.31578947,9036.13,202931.87,0.65,0.33,39.2,0.48,0.52,0.42
"7","Alabama",2023-08-23,2023-08-26,500,"Biden",32,"WPAi",NA,48163,0,-0.7,0.16,-1,12217,731239,29.4,55.6,45.92556,49.50372,-3.57816,0,1.31578947,9036.13,202931.87,0.65,0.33,39.2,0.48,0.52,0.42
"8","Alabama",2023-08-23,2023-08-26,500,"Trump",57,"WPAi",NA,48163,0,-0.7,0.16,-1,12217,731239,29.4,55.6,45.92556,49.50372,-3.57816,0,1.31578947,9036.13,202931.87,0.65,0.33,39.2,0.48,0.52,0.42
"9","Alaska",2024-09-11,2024-09-12,1254,"Harris",42,"Alaska Survey Research",7,65899,0,-1.4,0.1,-1,22253,301063,42.55,50,46.1358,44.80247,1.33333,0,1,12265,2500,0.6,0.31,34.6,0.52,0.48,0.18
"10","Alaska",2024-09-11,2024-09-12,1254,"Trump",47,"Alaska Survey Research",7,65899,0,-1.4,0.1,-1,22253,301063,42.55,50,46.1358,44.80247,1.33333,0,1,12265,2500,0.6,0.31,34.6,0.52,0.48,0.18
