,state,mean_border_patrol,mean_border_milit,mean_border_legal,mean_abortion,per_capita_disposable_income,unemployment_oneyear,unemployment_fouryear,pct_below_povertylevel,electoral_result_2020,edu_expenditure,house_price,fivethirtyeight_dem,fivethirtyeight_rep,feelingtherm_dem,feelingtherm_rep,affective_polarization,state_ideology,immig_feeling_avg,harris_disbursement,trump_disbursement,white_population,nonwhite_population,age,male,female,religion_evan,electoral_college
1,Alabama,4.166666667,3.75,3.708333333,3.458333333,48163,0,-0.7,0.16,-1,12217,731239,29.4,55.6,45.92556,49.50372,-3.57816,0,1.31578947,9036.13,202931.87,0.59,0.41,39.7,0.48,0.52,0.42,9
2,Alaska,4.5,4,3.333333333,4.666666667,65899,0,-1.4,0.1,-1,22253,301063,42.55,50,46.1358,44.80247,1.33333,0,1,12265,2500,0.53,0.47,35.6,0.52,0.48,0.18,3
3,Arizona,4.1875,3.46875,3.375,3.8125,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.3,0.7,38.9,0.49,0.51,0.11,11
4,Arkansas,4.230769231,3.692307692,3.923076923,3.461538462,49360,0.1,-0.2,0.16,-1,12799,447374,40,55,50.12681,40.63406,9.49275,0,1.375,412254.76,84202.28,0.62,0.38,38.8,0.49,0.51,0.38,6
5,California,3.859872611,3.178343949,2.955414013,3.49044586,68267,0.5,0.7,0.12,1,16737,256623,60.2333333,34.8916667,55.08839,36.51509,18.5733,2,1.54545455,26991476.7,6765691.31,0.02,0.98,37.5,0.49,0.51,0.09,54
6,Colorado,3.958333333,3.5,3.375,3.375,69353,0.1,0.5,0.09,1,13931,249775,53.65,41.25,49.16764,37.35714,11.8105,2,1.70588235,305334.53,76961.02,0.49,0.51,37.2,0.5,0.5,0.12,10
7,Connecticut,3.9,3.8,3.2,3,73888,-0.3,0.2,0.1,1,25300,216133,49.1,33.2,48.09804,39.46732,8.63072,2,2,52794.53,6438.93,0.49,0.51,41.1,0.49,0.51,0.07,7
8,Delaware,4.333333333,4,4.333333333,3.666666667,57800,-0.3,0.4,0.11,1,18892,317585,46,36.1,50.31776,40.47664,9.84112,2,1,2230769.61,126775.33,0.5,0.5,41.1,0.48,0.52,0.09,3
9,Florida,4.072580645,3.717741935,3.35483871,3.556451613,60397,-0.1,-0.4,0.12,-1,12326,234591,44.5375,49.452,50.03715,44.98847,5.04868,0,1.25555556,1279572.65,28230806.07,0.31,0.69,43,0.49,0.51,0.18,30
10,Georgia,4.12195122,3.609756098,3.512195122,3.6,51921,0.1,-0.4,0.14,1,13789,486947,46.5109615,47.6238462,50.07646,43.6862,6.39026,2,1.32258065,77354371.7,601055.66,0.41,0.59,37.5,0.48,0.52,0.26,16
11,Hawaii,5,3,4,2,57427,-0.3,0.5,0.1,1,18848,372319,49.5,36,62.42241,33.10345,29.31896,2,2,31304,10000,0.13,0.87,40.8,0.5,0.5,0.09,4
12,Idaho,4.5,3.8,3.9,3.2,52950,0.3,0.2,0.1,-1,10311,570505,24.6,53.8,39.52083,42.30729,-2.78646,0,1.5,6445,74000,0.69,0.31,36.8,0.5,0.5,0.12,4
13,Illinois,3.862068966,3.275862069,3.293103448,3.120689655,62317,-0.1,0.5,0.12,1,21099,420521,57.8,42.2,53.10025,38.7076,14.39265,2,1.6,919863.59,498644.35,0.43,0.57,38.8,0.49,0.51,0.12,19
14,Indiana,3.897435897,3.538461538,3.487179487,3.538461538,53943,0.2,0,0.12,-1,12996,581954,41.35,54.95,42.63819,44.71692,-2.07873,0,1.46428571,457738.98,109327.88,0.69,0.31,38.2,0.49,0.51,0.18,11
