"","state","Dem","Rep"
"1","Alabama",29.4,55.6
"2","Alaska",43.5857142857143,51.7142857142857
"3","Arizona",46.8700869565217,47.6878260869565
"4","Arkansas",40,55
"5","California",60.2066666666667,35.1388888888889
"6","Colorado",54.75,41.45
"7","Connecticut",53,37
"8","Delaware",54.8,36.45
"9","Florida",44.5885416666667,50.455
"10","Georgia",47.1428448275862,47.9129310344828
"11","Hawaii",49.5,36
"12","Idaho",24.6,53.8
"13","Illinois",58.3333333333333,41.6666666666667
"14","Indiana",41.4,55.92
"15","Iowa",43.8,49.15
"16","Kansas",41.3,49.05
"17","Kentucky",29.4,51.5
"18","Louisiana",35.5,50
"19","Maine",50.8571428571429,41.8571428571429
"20","Maryland",61.9275,32.873125
"21","Massachusetts",61.4666666666667,32.2666666666667
"22","Michigan",47.7680882352941,46.2425
"23","Minnesota",49.2568421052632,43.3371428571429
"24","Mississippi",35.3,50
"25","Missouri",42.2142857142857,55.4428571428571
"26","Montana",39.325,56.275
"27","Nebraska",44.2727272727273,49.0909090909091
"28","Nevada",47.3794117647059,46.3691764705882
"29","New Hampshire",51.33125,44.06875
"30","New Jersey",54.9,42.4666666666667
"31","New Mexico",48.96,41.56
"32","New York",55.5636363636364,39.7
"33","North Carolina",47.3231967213115,47.7645901639344
"34","North Dakota",36,54.5
"35","Ohio",44.235,51.6715384615385
"36","Oklahoma",34.2666666666667,62.3666666666667
"37","Oregon",49,41.6666666666667
"38","Pennsylvania",47.937380952381,46.9362790697674
"39","Rhode Island",54.4,37.2
"40","South Carolina",41.8666666666667,55.0333333333333
"41","South Dakota",34.75,60.5
"42","Tennessee",36.56,59.44
"43","Texas",44.2297297297297,50.9197297297297
"44","Utah",34.125,54.875
"45","Vermont",68.5,28
"46","Virginia",48.9179166666667,42.7283333333333
"47","Washington",55.6666666666667,36.1666666666667
"48","West Virginia",34,61
"49","Wisconsin",48.6044776119403,46.3565441176471
"50","Wyoming",20.2,52.6
